standard.orth	phonetic.orth	standard.phones	zipf	fpmw
about	aboot	AH0 B AW1 T	6.51	3265.89038401554
out	oot	AW1 T	6.48	3039.25882953636
now	noo	N AW1	6.44	2729.8252271332
how	hoo	HH AW1	6.33	2155.31679444668
our	oor	AW1 ER0	6.22	1665.89018534228
down	doon	D AW1 N	6.09	1231.68480884652
around	aroond	ER0 AW1 N	5.86	726.250101820046
house	hoose	HH AW1 S	5.83	671.952699870266
round	roond	R AW1 N D	5.71	517.89648725809
found	foond	F AW1 N D	5.58	381.502327457241
without	withoot	W IH2 DH AW1 T	5.46	288.667279904796
south	sooth	S AW1 TH	5.36	228.752391529367
outside	ootside	AW1 T S AY1 D	5.32	209.451284323289
power	pooer	P AW1 ER0	5.29	194.853766546999
hours	hoors	AW1 ER0 Z	5.28	188.714762813929
wow	woo	W AW1	5.28	192.489554753357
town	toon	T AW1 N	5.24	172.239782730923
ground	groond	G R AW1 N D	5.19	154.910507630047
hour	hoor	AW1 ER0	5.17	149.163883585417
sound	soond	S AW1 N D	5.16	146.322855967847
council	cooncil	K AW1 N S AH0 L	5.14	137.049781558751
sounds	soonds	S AW1 N D Z	5.1	125.799908212954
amount	amoont	AH0 M AW1 N T	5.07	117.336427338235
thousands	thoosands	TH AW1 Z AH0 N D Z	5.03	106.270326757911
brown	broon	B R AW1 N	5.01	102.276994232515
proud	prood	P R AW1 D	4.99	98.2290265606281
allowed	allooed	AH0 L AW1 D	4.98	96.4658013783951
doubt	doobt	D AW1 T	4.89	78.0438233476842
houses	hooses	HH AW1 S AH0 Z	4.88	76.2110625244616
throughout	throoghout	TH R UW0 AW1 T	4.81	64.8121842336874
mouth	mooth	M AW1 TH	4.78	60.3619032103612
cloud	clood	K L AW1 D	4.77	58.3205354641703
county	coonty	K AW1 N IY0	4.77	58.6632468376184
pounds	poonds	P AW1 N D Z	4.77	58.3503364531658
allow	alloo	AH0 L AW1	4.76	57.034126105865
crowd	crood	K R AW1 D	4.76	58.1218622042003
flowers	flooers	F L AW1 ER0 Z	4.73	53.8305197888501
count	coont	K AW1 N T	4.71	51.3818718597208
housing	hoosing	HH AW1 Z AH0 N	4.71	50.885188709796
powerful	pooerful	P AW1 ER0 F AH0 L	4.71	51.6898154126742
showers	shooers	SH AW1 ER0 Z	4.68	47.9448244622412
account	accoont	AH0 K AW1 N T	4.67	46.9017898473991
powers	pooers	P AW1 ER0 Z	4.66	45.9233240420472
mountain	moontain	M AW1 N T AH0 N	4.64	44.1799661858112
announced	annoonced	AH0 N AW1 N S T	4.62	41.2942370847481
route	roote	R AW1 T	4.6	39.9829935689466
crown	croon	K R AW1 N	4.53	33.903591813867
ow	oo	AW1	4.53	34.0525967588444
shower	shooer	SH AW1 ER0	4.52	33.0790977849918
pound	poond	P AW1 N D	4.51	32.701618591049
flower	flooer	F L AW1 ER0	4.5	31.7330864486956
tower	tooer	T AW1 ER0	4.5	31.7926884266866
councils	cooncils	K AW1 N S AH0 L Z	4.48	30.4168761013949
loud	lood	L AW1 D	4.48	30.4566107533889
cow	coo	K AW1	4.44	27.5659148208265
shout	shoot	SH AW1 T	4.43	26.895392568428
mouse	moose	M AW1 S	4.41	26.0063297300626
flour	floor	F L AW1 ER0	4.39	24.7149535402582
mountains	moontains	M AW1 N T AH0 N Z	4.39	24.5162802802882
thousand	thoosand	TH AW1 Z AH0 N	4.36	22.8474248965409
bound	boond	B AW1 N D	4.34	21.9136605746823
towns	toons	T AW1 N Z	4.34	21.7398214722086
howard	hooard	HH AW1 ER0 D	4.33	21.4716125712492
ours	oors	AW1 ER0 Z	4.31	20.4832131028988
bounce	boonce	B AW1 N S	4.3	19.8375250079966
household	hoosehold	HH AW1 S HH OW2 L D	4.3	19.7779230300056
shouting	shooting	SH AW1 T IH0 NG	4.3	20.0908334144582
counter	coonter	K AW1 N T ER0	4.29	19.544481949541
outcome	ootcome	AW1 T K AH2 M	4.28	19.0626992941139
allows	alloos	AH0 L AW1 Z	4.27	18.5213146606959
announcement	annooncement	AH0 N AW1 N S M AH0 N T	4.27	18.4517790197064
grounds	groonds	G R AW1 N D Z	4.27	18.4666795142041
accounts	accoonts	AH0 K AW1 N T S	4.25	17.7713231043094
cows	coos	K AW1 Z	4.25	17.9054275547891
surrounded	surroonded	S ER0 AW1 N D AH0 D	4.24	17.3690097528703
trousers	troosers	T R AW1 Z ER0 Z	4.24	17.562716181341
clouds	cloods	K L AW1 D Z	4.23	17.0362320424207
amounts	amoonts	AH0 M AW1 N T S	4.22	16.4600795885079
bow	boo	B AW1	4.22	16.5693498814914
rounds	roonds	R AW1 N D Z	4.22	16.4501459255094
allowing	allooing	AH0 L AW1 IH0 NG	4.2	15.9931974275786
crowds	croods	K R AW1 D Z	4.2	15.9484959440854
lounge	loonge	L AW1 N JH	4.19	15.5511494241456
counting	coonting	K AW1 N AH0 N	4.18	15.05943310572
downing	dooning	D AW1 N IH0 NG	4.18	15.1091014207125
cloudy	cloody	K L AW1 D IY0	4.17	14.6769870802779
powder	pooder	P AW1 D ER0	4.17	14.7614232157651
allowance	allooance	AH0 L AW1 AH0 N S	4.16	14.6074514392884
sounded	soonded	S AW1 N D AH0 D	4.16	14.3491762013275
nowadays	nooadays	N AW1 AH0 D EY2 Z	4.15	14.1058014578644
counts	coonts	K AW1 N T S	4.13	13.4750138574599
